tx_id,src_account,dst_account,amount,tx_type,timestamp
TXN_5000,ACC_9999,ACC_1015,1677.53,Withdrawal,2026-01-20T10:00:00Z
TXN_5001,ACC_1138,ACC_1210,738.79,Deposit,2026-01-20T10:00:00Z
TXN_5002,ACC_1441,ACC_1024,361.65,Withdrawal,2026-01-20T10:00:00Z
TXN_5003,ACC_1330,ACC_1199,640.2,Transfer,2026-01-20T10:00:00Z
TXN_5004,ACC_1140,ACC_1116,1668.62,Withdrawal,2026-01-20T10:00:00Z
TXN_5005,ACC_1163,ACC_1007,1476.34,Deposit,2026-01-20T10:00:00Z
TXN_5006,ACC_1079,ACC_1227,1427.65,Deposit,2026-01-20T10:00:00Z
TXN_5007,ACC_1472,ACC_1185,1068.25,Transfer,2026-01-20T10:00:00Z
TXN_5008,ACC_1489,ACC_1102,455.9,Deposit,2026-01-20T10:00:00Z
TXN_5009,ACC_1090,ACC_1074,401.62,Transfer,2026-01-20T10:00:00Z
TXN_5010,ACC_1263,ACC_1455,278.59,Withdrawal,2026-01-20T10:00:00Z
TXN_5011,ACC_1308,ACC_1228,417.88,Deposit,2026-01-20T10:00:00Z
TXN_5012,ACC_1198,ACC_1464,844.65,Transfer,2026-01-20T10:00:00Z
TXN_5013,ACC_1012,ACC_1322,1280.47,Transfer,2026-01-20T10:00:00Z
TXN_5014,ACC_1145,ACC_1091,1444.41,Deposit,2026-01-20T10:00:00Z
TXN_5015,ACC_1175,ACC_1078,782.68,Deposit,2026-01-20T10:00:00Z
TXN_5016,ACC_1036,ACC_1112,279.73,Transfer,2026-01-20T10:00:00Z
TXN_5017,ACC_1033,ACC_1136,1416.37,Withdrawal,2026-01-20T10:00:00Z
TXN_5018,ACC_9999,ACC_1305,1586.2,Transfer,2026-01-20T10:00:00Z
TXN_5019,ACC_1314,ACC_1405,1512.52,Transfer,2026-01-20T10:00:00Z
TXN_5020,ACC_1191,ACC_1146,1532.19,Withdrawal,2026-01-20T10:00:00Z
TXN_5021,ACC_1130,ACC_1463,1537.76,Transfer,2026-01-20T10:00:00Z
TXN_5022,ACC_1360,ACC_1400,15.46,Deposit,2026-01-20T10:00:00Z
TXN_5023,ACC_1370,ACC_1192,810.06,Withdrawal,2026-01-20T10:00:00Z
TXN_5024,ACC_1288,ACC_1296,1034.73,Withdrawal,2026-01-20T10:00:00Z
TXN_5025,ACC_1461,ACC_1006,302.59,Deposit,2026-01-20T10:00:00Z
TXN_5026,ACC_1476,ACC_1015,1106.56,Withdrawal,2026-01-20T10:00:00Z
TXN_5027,ACC_1442,ACC_1286,1293.1,Deposit,2026-01-20T10:00:00Z
TXN_5028,ACC_1070,ACC_1167,916.87,Transfer,2026-01-20T10:00:00Z
TXN_5029,ACC_1478,ACC_1323,438.58,Transfer,2026-01-20T10:00:00Z
TXN_5030,ACC_1129,ACC_1130,1428.23,Transfer,2026-01-20T10:00:00Z
TXN_5031,ACC_1335,ACC_1160,314.79,Withdrawal,2026-01-20T10:00:00Z
TXN_5032,ACC_1469,ACC_1019,1308.06,Withdrawal,2026-01-20T10:00:00Z
TXN_5033,ACC_1435,ACC_1216,1588.47,Withdrawal,2026-01-20T10:00:00Z
TXN_5034,ACC_1438,ACC_1270,1780.8,Withdrawal,2026-01-20T10:00:00Z
TXN_5035,ACC_1274,ACC_1400,797.03,Deposit,2026-01-20T10:00:00Z
TXN_5036,ACC_1104,ACC_1022,897.93,Deposit,2026-01-20T10:00:00Z
TXN_5037,ACC_1360,ACC_1121,1418.96,Withdrawal,2026-01-20T10:00:00Z
TXN_5038,ACC_1381,ACC_1218,1950.96,Deposit,2026-01-20T10:00:00Z
TXN_5039,ACC_1233,ACC_1253,477.73,Deposit,2026-01-20T10:00:00Z
TXN_5040,ACC_1024,ACC_1176,287.69,Withdrawal,2026-01-20T10:00:00Z
TXN_5041,ACC_1258,ACC_1141,1476.83,Deposit,2026-01-20T10:00:00Z
TXN_5042,ACC_1189,ACC_1082,1660.68,Deposit,2026-01-20T10:00:00Z
